epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.61627,1.51457,2.79975,1.56516,0.92168,0.27378,0.53181,0.34058,1.04504,3.25782,1.24762,0.00032,0.00032,0.00032
2,5.45387,1.41969,2.35061,1.55713,0.8021,0.14149,0.56451,0.29842,1.19003,3.58242,1.34281,0.000646932,0.000646932,0.000646932
3,7.16202,1.30737,1.85652,1.4503,0.69192,0.33721,0.47466,0.26443,1.34808,3.27144,1.52667,0.0009604,0.0009604,0.0009604
4,8.85677,1.35098,1.77434,1.46674,0.74003,0.39724,0.53919,0.29704,1.46146,3.47189,1.62227,0.0012604,0.0012604,0.0012604
5,10.5731,1.39196,1.79224,1.46441,0.86196,0.37209,0.44159,0.23812,1.73686,3.26006,1.69601,0.00154694,0.00154694,0.00154694
6,12.2691,1.34752,1.84564,1.50427,0.41415,0.31395,0.24822,0.1209,1.71227,3.12886,1.81452,0.001802,0.001802,0.001802
7,13.9591,1.32971,1.70966,1.46444,0.57922,0.37209,0.4021,0.22949,1.7973,3.87344,1.89608,0.0017624,0.0017624,0.0017624
8,15.715,1.39142,1.76023,1.50752,0.49867,0.33721,0.34891,0.15034,2.16066,8.42368,2.63555,0.0017228,0.0017228,0.0017228
9,17.4425,1.32046,1.64975,1.41915,0.73462,0.5794,0.67105,0.38913,1.34393,2.34765,1.48897,0.0016832,0.0016832,0.0016832
10,19.1421,1.36748,1.61327,1.45515,0.46655,0.65086,0.59342,0.33065,1.39345,2.53598,1.52101,0.0016436,0.0016436,0.0016436
11,20.8786,1.36223,1.6051,1.48858,0.66307,0.51163,0.57768,0.33625,1.47798,3.43561,1.63188,0.001604,0.001604,0.001604
12,22.5997,1.28565,1.49757,1.38853,0.73319,0.703,0.71321,0.42109,1.47944,2.04436,1.56744,0.0015644,0.0015644,0.0015644
13,24.2892,1.33185,1.42408,1.43306,0.7436,0.70819,0.7273,0.44456,1.3852,1.6435,1.5334,0.0015248,0.0015248,0.0015248
14,25.98,1.23696,1.38834,1.39163,0.69602,0.77215,0.77672,0.45805,1.34223,1.30977,1.5363,0.0014852,0.0014852,0.0014852
15,27.6635,1.34616,1.39515,1.46793,0.71252,0.73256,0.76736,0.422,1.31469,1.32066,1.54492,0.0014456,0.0014456,0.0014456
16,29.3534,1.36142,1.41973,1.47914,0.69409,0.73256,0.7724,0.43643,1.2908,1.3258,1.43244,0.001406,0.001406,0.001406
17,30.9928,1.31459,1.41011,1.46029,0.6534,0.80233,0.7429,0.38617,1.40347,1.38236,1.47626,0.0013664,0.0013664,0.0013664
