epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,24.295,1.05632,3.41219,8.50354,0.02214,4.41764,0.0041,0.93478,0.16932,0.07458,0.004,0.91304,0.12253,0.06272,0.8859,3.98356,12.6009,0.02755,0,0.00034,0.00034,0.00034
2,28.6428,0.79818,1.7604,8.48106,0.01593,1.67806,0.00419,0.95652,0.20313,0.11159,0.004,0.91304,0.19094,0.11672,1.37885,5.25319,13.5648,0.04823,0,0.00068614,0.00068614,0.00068614
3,32.9896,0.92546,1.6744,7.11361,0.01703,1.39096,0.00419,0.95652,0.15068,0.06441,0.0039,0.8913,0.12708,0.05186,1.17331,4.35589,13.1354,0.03789,0,0.00101802,0.00101802,0.00101802
4,37.2067,1.00199,1.7416,6.6656,0.01807,1.45357,0.00438,1,0.24138,0.11873,0.0041,0.93478,0.18638,0.10509,0.90577,3.34078,12.5974,0.02955,0,0.00133565,0.00133565,0.00133565
5,41.3204,0.95537,1.52743,6.45755,0.01817,1.19892,0.00429,0.97826,0.17764,0.08704,0.004,0.91304,0.13824,0.06979,1.22476,4.76117,12.7518,0.0414,0,0.00163902,0.00163902,0.00163902
6,45.5331,1.21549,1.57157,6.21342,0.02299,1.14999,0.6095,0.36957,0.48002,0.24636,0.66919,0.39591,0.48247,0.28991,1.24739,2.77067,11.4336,0.04427,0,0.001802,0.001802,0.001802
7,49.8122,1.07913,1.35573,5.51096,0.02095,0.89,0.63141,0.3913,0.44539,0.14533,0.67763,0.41132,0.46309,0.17384,1.86206,2.85068,11.7057,0.0671,0,0.0017624,0.0017624,0.0017624
8,54.0362,1.09962,1.36103,4.9842,0.02193,0.8208,0.50656,0.40186,0.45215,0.18286,0.43368,0.36957,0.35962,0.15912,1.77567,3.20095,8.84797,0.06042,0,0.0017228,0.0017228,0.0017228
9,58.1803,1.12962,1.227,4.43177,0.02129,0.91522,0.46752,0.38188,0.42441,0.23703,0.46288,0.36957,0.39401,0.25234,1.28672,2.58586,6.05237,0.04357,0,0.0016832,0.0016832,0.0016832
10,62.4465,1.14984,1.4414,4.56063,0.024,1.12073,0.67478,0.49626,0.54887,0.27589,0.62087,0.45652,0.47567,0.24416,1.4564,2.41376,4.64238,0.04536,0,0.0016436,0.0016436,0.0016436
